id,ssn,admitTime,gender,firstTime,weight,age
125,813-60-2610,2013-11-17T19:44:28.998,Male,No,134,52
126,557-18-5551,2013-22-17T19:44:28.998,Male,Yes,165,55
127,469-71-7024,2013-03-17T19:44:28.99,Male,No,133,39
128,958-43-7275,2013-16-17T19:44:28.998,Female,No,162,42
129,994-23-7997,2013-18-17T19:44:28.99888,Female,No,182,24
130,680-88-9481,2013-15-17T19:44:28.998,Female,Yes,130,45
131,488-80-8883,2013-17-17T19:44:28.998,Female,No,164,26
132,446-38-5254,2013-01-17T12:44:28.998,Male,No,219,42
133,328-29-7195,2013-15-17T19:44:28.998,Male,Yes,222,30
134,510-95-8793,2013-01-17T12:44:28.998,Female,No,206,44
135,838-14-2448,2013-16-17T19:44:28.998,Female,Yes,206,51
136,814-78-0536,2013-17-17T19:44:28.998,Male,No,176,37
137,454-04-2138,2013-01-17T12:44:28.998,Male,No,166,59
138,318-83-0099,2013-09-17T19:44:28.998,Male,Yes,138,28
139,220-89-1812,2013-10-17T19:44:28.998,Female,Yes,159,31
140,778-21-6183,2013-10-17T19:44:28.998,Female,Yes,205,48
141,883-22-2067,2013-22-17T19:44:28.998,Male,Yes,133,53
142,734-66-0279,2013-09-17T19:44:28.998,Male,No,163,54
143,513-24-9490,2013-22-17T19:44:28.998,Female,Yes,221,45
144,279-21-6625,2013-18-17T19:44:28.99888,Female,Yes,145,22
145,276-16-2183,2013-03-17T19:44:28.99,Female,No,152,48
146,796-63-3882,2013-15-17T19:44:28.998,Female,Yes,131,44
147,231-66-8402,2013-13-17T19:44:28.998,Female,Yes,211,48
148,527-20-0315,2013-14-17T19:44:28.998,Male,Yes,184,44
149,907-82-3957,2013-03-17T19:44:28.99,Male,Yes,142,25
150,159-89-0132,2013-03-17T19:44:28.998,Female,No,200,60
151,773-49-3821,2013-03-17T19:44:28.998,Female,Yes,165,24
152,599-35-9973,2013-22-17T19:44:28.998,Male,No,215,32
153,344-89-3747,2013-22-17T19:44:28.998,Male,Yes,158,59
154,108-01-6825,2013-03-17T19:44:28.99,Female,No,194,30
155,741-92-7014,2013-15-17T19:44:28.998,Male,Yes,208,29
156,937-84-7365,2013-03-17T19:44:28.998,Male,No,219,57
157,535-45-1445,2013-11-17T19:44:28.998,Male,No,154,41
158,376-28-2190,2013-01-17T12:44:28.998,Male,No,185,56
159,653-65-3587,2013-15-17T19:44:28.998,Female,Yes,155,44
160,452-83-6176,2013-15-17T19:44:28.998,Female,Yes,161,54
161,303-33-8085,2013-11-17T19:44:28.998,Female,Yes,158,42
162,582-38-0016,2013-18-17T19:44:28.99888,Male,Yes,126,21
163,270-28-2187,2013-11-17T19:44:28.998,Female,No,169,60
164,479-40-9870,2013-18-17T19:44:28.99888,Female,No,136,29
165,816-10-1357,2013-14-17T19:44:28.998,Male,Yes,181,50
166,538-26-6518,2013-18-17T19:44:28.99888,Female,No,188,22
167,366-66-6673,2013-18-17T19:44:28.99888,Female,No,154,26
168,640-26-5530,2013-22-17T19:44:28.998,Female,Yes,136,42
169,752-18-7734,2013-11-17T19:44:28.998,Female,Yes,204,41
170,963-76-1913,2013-10-17T19:44:28.998,Male,No,149,21
171,844-55-3212,2013-09-17T19:44:28.998,Female,Yes,157,43
172,227-30-3704,2013-01-17T12:44:28.998,Male,Yes,196,59
173,948-77-8316,2013-11-17T19:44:28.998,Female,Yes,170,41
174,657-40-9354,2013-18-17T19:44:28.99888,Male,Yes,160,43
175,560-84-0983,2013-14-17T19:44:28.998,Male,No,135,52
176,551-99-9602,2013-11-17T19:44:28.998,Female,Yes,191,29
177,413-75-1283,2013-11-17T19:44:28.998,Male,No,173,47
178,941-48-4341,2013-15-17T19:44:28.998,Male,No,202,48
179,116-87-4537,2013-10-17T19:44:28.998,Female,Yes,132,41
180,297-56-3659,2013-10-17T19:44:28.998,Female,No,176,53
181,597-00-4189,2013-09-17T19:44:28.998,Male,No,186,36
182,305-40-9939,2013-15-17T19:44:28.998,Female,No,184,59
183,625-13-3130,2013-03-17T19:44:28.998,Female,No,211,26
184,499-96-6337,2013-13-17T19:44:28.998,Female,No,204,28
185,926-05-5399,2013-12-17T19:44:28.99,Male,No,170,31
186,500-01-7014,2013-14-17T19:44:28.998,Male,Yes,138,45
187,645-53-8152,2013-10-17T19:44:28.998,Female,Yes,146,25
188,414-19-6186,2013-22-17T19:44:28.998,Male,Yes,214,59
189,766-30-6790,2013-15-17T19:44:28.998,Female,No,168,26
190,525-84-6653,2013-09-17T19:44:28.998,Female,Yes,206,51
191,870-30-2132,2013-18-17T19:44:28.99888,Female,No,130,54
192,679-97-8622,2013-17-17T19:44:28.998,Male,No,196,53
193,776-17-3400,2013-17-17T19:44:28.998,Male,Yes,166,58
194,326-80-8316,2013-13-17T19:44:28.998,Male,Yes,218,46
195,650-95-9012,2013-09-17T19:44:28.998,Male,Yes,186,32
196,717-86-3364,2013-14-17T19:44:28.998,Female,No,164,21
197,915-91-0434,2013-22-17T19:44:28.998,Female,Yes,216,52
198,854-97-1902,2013-11-17T19:44:28.998,Female,No,148,60
199,533-96-2211,2013-11-17T19:44:28.998,Male,Yes,166,27
200,487-30-7276,2013-13-17T19:44:28.998,Male,Yes,195,53
201,425-36-2973,2013-14-17T19:44:28.998,Female,Yes,212,57
202,951-08-5088,2013-01-17T12:44:28.998,Female,No,156,55
203,641-74-4805,2013-15-17T19:44:28.998,Female,No,207,25
204,448-63-0276,2013-18-17T19:44:28.99888,Female,Yes,135,46
205,473-00-7299,2013-11-17T19:44:28.998,Male,No,200,55
206,849-60-6695,2013-15-17T19:44:28.998,Female,No,179,56
207,352-38-5666,2013-11-17T19:44:28.998,Female,Yes,148,37
208,881-92-6611,2013-16-17T19:44:28.998,Female,No,179,58
209,994-18-4984,2013-10-17T19:44:28.998,Female,Yes,198,31
210,944-80-4128,2013-03-17T19:44:28.998,Female,Yes,207,41
211,787-55-0944,2013-12-17T19:44:28.99,Female,No,198,39
212,979-35-8836,2013-10-17T19:44:28.998,Male,Yes,210,29
213,670-93-6576,2013-11-17T19:44:28.998,Male,No,162,20
214,142-90-7972,2013-17-17T19:44:28.998,Female,No,143,46
215,239-83-9286,2013-22-17T19:44:28.998,Female,Yes,189,39
216,892-85-7023,2013-10-17T19:44:28.998,Female,No,177,30
217,898-64-2029,2013-16-17T19:44:28.998,Female,No,178,36
218,273-72-0540,2013-14-17T19:44:28.998,Female,No,151,60
219,685-49-4042,2013-15-17T19:44:28.998,Female,No,127,28
220,106-10-9448,2013-16-17T19:44:28.998,Male,Yes,149,43
221,261-85-0710,2013-10-17T19:44:28.998,Female,No,189,58
222,399-06-3370,2013-09-17T19:44:28.998,Male,No,135,37
223,184-45-7283,2013-01-17T12:44:28.998,Female,No,136,56
224,549-52-1013,2013-15-17T19:44:28.998,Male,No,132,39
225,626-30-9095,2013-15-17T19:44:28.998,Female,Yes,181,35
226,227-43-7614,2013-16-17T19:44:28.998,Female,No,146,27
227,237-94-4963,2013-17-17T19:44:28.998,Female,Yes,174,24
228,913-64-7372,2013-11-17T19:44:28.998,Male,Yes,153,22
229,350-44-7662,2013-09-17T19:44:28.998,Female,No,160,53
230,358-89-9021,2013-03-17T19:44:28.99,Female,Yes,194,56
231,985-44-2008,2013-14-17T19:44:28.998,Female,Yes,207,53
232,585-85-3017,2013-17-17T19:44:28.998,Female,No,180,33
233,977-41-5237,2013-13-17T19:44:28.998,Female,Yes,185,38
234,499-11-3653,2013-22-17T19:44:28.998,Female,No,149,60
235,866-77-4086,2013-11-17T19:44:28.998,Female,Yes,148,40
236,429-33-4509,2013-18-17T19:44:28.99888,Male,Yes,178,51
237,989-11-9837,2013-11-17T19:44:28.998,Male,No,150,20
238,874-69-1654,2013-10-17T19:44:28.998,Female,Yes,151,30
239,543-67-8527,2013-14-17T19:44:28.998,Male,Yes,143,28
240,542-42-8334,2013-15-17T19:44:28.998,Female,Yes,161,33
241,502-29-2917,2013-10-17T19:44:28.998,Male,No,195,23
242,440-95-4221,2013-09-17T19:44:28.998,Male,No,156,20
243,513-73-8455,2013-17-17T19:44:28.998,Male,Yes,152,22
244,846-90-4601,2013-12-17T19:44:28.99,Female,Yes,165,39
245,813-75-7681,2013-03-17T19:44:28.998,Male,No,212,26
246,568-29-5521,2013-13-17T19:44:28.998,Male,Yes,146,30
247,125-40-7233,2013-14-17T19:44:28.998,Female,No,132,31
248,785-42-1249,2013-14-17T19:44:28.998,Female,No,203,32
249,747-14-4974,2013-18-17T19:44:28.99888,Female,No,173,42
250,138-45-4960,2013-14-17T19:44:28.998,Female,No,174,55
251,100-03-5881,2013-03-17T19:44:28.998,Female,Yes,179,46
252,908-85-4715,2013-12-17T19:44:28.99,Male,No,186,31
253,454-14-3266,2013-03-17T19:44:28.998,Male,Yes,170,60
254,317-50-7739,2013-01-17T12:44:28.998,Male,Yes,161,28
255,421-74-0762,2013-17-17T19:44:28.998,Male,No,208,34
256,979-08-3657,2013-09-17T19:44:28.998,Female,Yes,176,60
257,864-13-2638,2013-17-17T19:44:28.998,Female,No,199,52
258,451-97-7694,2013-17-17T19:44:28.998,Male,Yes,151,38
259,588-88-3460,2013-12-17T19:44:28.99,Male,No,196,38
260,994-27-8483,2013-11-17T19:44:28.998,Male,No,225,40
261,324-38-9771,2013-18-17T19:44:28.99888,Female,No,155,54
262,556-80-4829,2013-13-17T19:44:28.998,Female,Yes,223,37
263,747-70-0586,2013-12-17T19:44:28.99,Male,Yes,160,56
264,201-64-2120,2013-11-17T19:44:28.998,Male,Yes,163,29
265,478-11-9885,2013-16-17T19:44:28.998,Male,No,186,58
266,959-89-4937,2013-11-17T19:44:28.998,Female,No,217,24
267,412-88-4016,2013-12-17T19:44:28.99,Male,Yes,168,34
268,272-74-9654,2013-16-17T19:44:28.998,Male,Yes,214,40
269,932-54-0914,2013-16-17T19:44:28.998,Male,No,197,28
270,510-02-1264,2013-09-17T19:44:28.998,Male,Yes,130,40
271,436-55-7777,2013-10-17T19:44:28.998,Male,No,156,28
272,864-49-1301,2013-17-17T19:44:28.998,Female,Yes,134,39
273,903-41-3956,2013-22-17T19:44:28.998,Female,Yes,205,53
274,346-19-5667,2013-10-17T19:44:28.998,Male,No,220,50
275,102-71-6313,2013-10-17T19:44:28.998,Male,No,166,41
276,322-69-0560,2013-12-17T19:44:28.99,Female,Yes,147,38
277,487-99-1502,2013-16-17T19:44:28.998,Male,Yes,183,33
278,922-13-0692,2013-11-17T19:44:28.998,Female,No,157,27
279,909-19-8619,2013-11-17T19:44:28.998,Female,No,178,34
280,582-50-3610,2013-03-17T19:44:28.998,Female,Yes,136,54
281,532-31-7635,2013-11-17T19:44:28.998,Male,Yes,138,51
282,786-63-8880,2013-10-17T19:44:28.998,Male,Yes,154,24
283,237-34-9517,2013-17-17T19:44:28.998,Male,No,151,39
284,291-56-5211,2013-22-17T19:44:28.998,Male,No,141,28
285,235-54-6889,2013-09-17T19:44:28.998,Female,No,201,52
286,110-31-7289,2013-14-17T19:44:28.998,Female,No,210,33
287,743-32-0369,2013-12-17T19:44:28.99,Female,No,157,25
288,440-03-4298,2013-12-17T19:44:28.99,Female,No,225,48
289,511-30-8024,2013-17-17T19:44:28.998,Male,Yes,133,57
290,349-94-6552,2013-22-17T19:44:28.998,Female,No,194,38
291,294-23-1475,2013-22-17T19:44:28.998,Female,No,192,21
292,954-20-2890,2013-09-17T19:44:28.998,Female,Yes,157,29
293,733-03-6167,2013-10-17T19:44:28.998,Female,No,211,59
294,752-94-0405,2013-11-17T19:44:28.998,Male,No,208,28
295,281-97-7757,2013-10-17T19:44:28.998,Female,Yes,219,52
296,323-20-7717,2013-09-17T19:44:28.998,Male,No,212,36
297,830-65-0829,2013-17-17T19:44:28.998,Female,No,198,28
298,177-28-1992,2013-15-17T19:44:28.998,Female,Yes,165,59
299,563-36-7212,2013-09-17T19:44:28.998,Female,Yes,194,57
300,779-60-0116,2013-11-17T19:44:28.998,Male,No,169,21
301,642-97-2538,2013-10-17T19:44:28.998,Female,Yes,182,26
302,532-98-0371,2013-16-17T19:44:28.998,Male,Yes,217,50
303,785-37-5069,2013-11-17T19:44:28.998,Female,Yes,199,36
304,606-81-8327,2013-12-17T19:44:28.99,Male,No,224,39
305,220-82-0426,2013-01-17T12:44:28.998,Male,No,187,20
306,765-91-1553,2013-11-17T19:44:28.998,Female,Yes,186,36
307,174-00-5296,2013-11-17T19:44:28.998,Female,Yes,182,29
308,150-55-9772,2013-12-17T19:44:28.99,Female,No,168,36
309,291-11-8905,2013-12-17T19:44:28.99,Female,Yes,193,39
310,970-64-0026,2013-15-17T19:44:28.998,Female,Yes,203,30
311,230-53-1392,2013-01-17T12:44:28.998,Male,Yes,173,20
312,248-79-4572,2013-11-17T19:44:28.998,Female,Yes,188,33
313,934-85-5442,2013-03-17T19:44:28.998,Female,Yes,186,59
314,914-93-1394,2013-01-17T12:44:28.998,Male,No,133,21
315,897-59-9085,2013-10-17T19:44:28.998,Female,No,214,21
316,365-95-4214,2013-22-17T19:44:28.998,Male,Yes,198,54
317,406-33-8304,2013-03-17T19:44:28.998,Female,No,210,55
318,136-87-2983,2013-03-17T19:44:28.99,Male,Yes,169,42
319,248-73-8005,2013-03-17T19:44:28.99,Female,No,151,20
320,813-64-0780,2013-10-17T19:44:28.998,Male,Yes,202,29
321,409-36-9398,2013-11-17T19:44:28.998,Male,Yes,154,35
322,191-22-1779,2013-15-17T19:44:28.998,Female,No,202,55
323,507-25-7103,2013-01-17T12:44:28.998,Female,No,157,30
324,876-69-4264,2013-09-17T19:44:28.998,Male,Yes,136,30
325,270-87-3423,2013-12-17T19:44:28.99,Female,No,182,52
326,409-76-6677,2013-16-17T19:44:28.998,Female,No,158,36
327,104-88-1088,2013-01-17T12:44:28.998,Male,Yes,207,58
328,292-92-4798,2013-22-17T19:44:28.998,Female,No,190,27
329,980-63-9082,2013-16-17T19:44:28.998,Female,Yes,222,27
330,747-58-7554,2013-16-17T19:44:28.998,Male,No,217,43
331,675-27-1176,2013-03-17T19:44:28.99,Female,No,132,60
332,841-94-3181,2013-03-17T19:44:28.998,Female,No,133,45
333,647-51-6503,2013-15-17T19:44:28.998,Male,No,219,48
334,748-24-8592,2013-13-17T19:44:28.998,Female,No,202,51
335,434-70-2913,2013-16-17T19:44:28.998,Male,No,135,46
336,386-28-4240,2013-16-17T19:44:28.998,Female,No,131,36
337,508-12-1765,2013-15-17T19:44:28.998,Male,Yes,212,25
338,380-71-1126,2013-12-17T19:44:28.99,Female,Yes,163,51
339,248-14-7292,2013-03-17T19:44:28.998,Female,No,195,49
340,199-84-4043,2013-10-17T19:44:28.998,Female,No,214,60
341,935-42-8641,2013-18-17T19:44:28.99888,Male,Yes,162,48
342,491-57-5299,2013-12-17T19:44:28.99,Female,Yes,169,44
343,618-57-5056,2013-03-17T19:44:28.99,Female,No,170,48
344,693-64-2430,2013-14-17T19:44:28.998,Male,Yes,128,50
345,248-61-7528,2013-15-17T19:44:28.998,Male,No,161,55
346,982-20-1133,2013-03-17T19:44:28.99,Male,Yes,191,23
347,805-14-7332,2013-14-17T19:44:28.998,Female,No,146,56
348,689-87-6337,2013-11-17T19:44:28.998,Male,No,178,33
349,773-53-9942,2013-11-17T19:44:28.998,Male,Yes,151,43
350,774-83-9532,2013-14-17T19:44:28.998,Female,No,128,48
351,464-68-6836,2013-18-17T19:44:28.99888,Male,No,198,42
352,839-60-1505,2013-01-17T12:44:28.998,Female,No,181,53
353,658-00-7194,2013-10-17T19:44:28.998,Female,No,210,47
354,857-72-4854,2013-13-17T19:44:28.998,Female,No,175,58
355,518-81-9777,2013-10-17T19:44:28.998,Female,No,189,51
356,320-25-7892,2013-01-17T12:44:28.998,Female,No,203,41
357,731-72-5422,2013-09-17T19:44:28.998,Male,No,195,59
358,239-74-7322,2013-22-17T19:44:28.998,Female,Yes,148,52
359,209-15-6407,2013-13-17T19:44:28.998,Male,Yes,180,49
360,646-88-9059,2013-15-17T19:44:28.998,Male,Yes,221,58
361,796-63-8751,2013-16-17T19:44:28.998,Female,Yes,153,27
362,149-95-2864,2013-14-17T19:44:28.998,Male,No,176,54
363,687-09-3169,2013-16-17T19:44:28.998,Female,Yes,219,24
364,239-44-0136,2013-15-17T19:44:28.998,Male,Yes,185,44
365,379-26-3910,2013-01-17T12:44:28.998,Female,Yes,191,59
366,573-60-0935,2013-15-17T19:44:28.998,Female,Yes,174,37
367,210-98-3507,2013-22-17T19:44:28.998,Female,Yes,204,56
368,386-18-6791,2013-11-17T19:44:28.998,Female,Yes,151,38
369,486-17-9719,2013-09-17T19:44:28.998,Female,Yes,174,40
370,274-50-2273,2013-03-17T19:44:28.998,Male,Yes,191,37
371,463-07-0731,2013-11-17T19:44:28.998,Male,Yes,166,24
372,656-14-2935,2013-16-17T19:44:28.998,Male,No,135,28
373,455-69-1648,2013-13-17T19:44:28.998,Male,No,150,54
374,406-91-3452,2013-18-17T19:44:28.99888,Male,No,156,37
375,479-32-9125,2013-15-17T19:44:28.998,Male,No,214,29
376,932-69-3254,2013-17-17T19:44:28.998,Female,No,213,49
377,782-52-2153,2013-09-17T19:44:28.998,Female,No,187,38
378,899-59-4949,2013-12-17T19:44:28.99,Male,Yes,216,23
379,359-62-6720,2013-09-17T19:44:28.998,Female,Yes,154,21
380,815-35-9774,2013-13-17T19:44:28.998,Female,No,174,60
381,660-75-1748,2013-22-17T19:44:28.998,Female,Yes,197,41
382,354-92-0768,2013-03-17T19:44:28.99,Male,Yes,143,59
383,279-78-1868,2013-11-17T19:44:28.998,Female,Yes,179,38
384,606-89-1580,2013-10-17T19:44:28.998,Male,Yes,155,39
385,336-77-9076,2013-11-17T19:44:28.998,Female,No,135,30
386,211-72-7811,2013-15-17T19:44:28.998,Male,Yes,127,26
387,315-42-4511,2013-12-17T19:44:28.99,Female,Yes,189,20
388,588-83-9614,2013-09-17T19:44:28.998,Male,No,186,22
389,812-62-5048,2013-14-17T19:44:28.998,Male,Yes,173,22
390,704-54-4805,2013-03-17T19:44:28.998,Male,No,206,46
391,404-58-3669,2013-12-17T19:44:28.99,Female,No,127,30
392,873-51-1440,2013-11-17T19:44:28.998,Male,Yes,192,25
393,208-27-5344,2013-15-17T19:44:28.998,Male,No,222,27
394,849-32-0627,2013-17-17T19:44:28.998,Male,Yes,128,43
395,474-19-3810,2013-11-17T19:44:28.998,Female,No,162,60
396,990-03-5594,2013-17-17T19:44:28.998,Male,Yes,127,23
397,391-92-4109,2013-03-17T19:44:28.99,Female,No,128,21
398,310-99-6881,2013-10-17T19:44:28.998,Male,Yes,195,51
399,133-24-1833,2013-09-17T19:44:28.998,Male,No,133,57
400,875-91-0316,2013-09-17T19:44:28.998,Male,Yes,167,21
401,860-96-8547,2013-11-17T19:44:28.998,Female,No,148,36
402,900-62-9969,2013-18-17T19:44:28.99888,Male,Yes,153,58
403,564-94-3775,2013-12-17T19:44:28.99,Male,Yes,141,23
404,435-62-5910,2013-10-17T19:44:28.998,Female,Yes,217,57
405,580-28-2993,2013-12-17T19:44:28.99,Male,No,148,35
406,809-97-4346,2013-01-17T12:44:28.998,Female,Yes,141,21
407,430-40-1254,2013-22-17T19:44:28.998,Male,Yes,150,31
408,448-63-6615,2013-13-17T19:44:28.998,Female,No,151,57
409,420-23-8921,2013-10-17T19:44:28.998,Female,No,152,38
